"Author.Full.Names","Article.Title","Publication.Year","Abstract","Answer.1","Answer.2","Answer.3","Answer.4","Answer.5","Answer.6","Answer.7","Answer.8","Answer.9"
"Vyas, Shaleen; Nagarajappa, Sandesh; Dasar, Pralhad L.; Mishra, Prashant","Impact of comprehendible learning modes on oral health among visually impaired adults",2018,"AimTo assess changes in oral hygiene status, oral health knowledge and behavior among visually impaired individuals using dental health education material transcribed in Braille and Compressed speech. MethodologyA nonrandomized before and after comparison study was conducted among 4 purposively selected institutes for visually impaired in Indore region, Central India. A stratified random sampling was employed to select 144 visually impaired individuals aged 15-35 years. Oral health education (OHE) material was developed in Braille and compressed speech. Participants were intervened using OHE material. A self-administered Braille transcribed proforma was used to record participants responses on oral health knowledge and behavior at baseline, 1-week, 1-month, and 3-months followed by clinical examination. Descriptive statistics was used for frequencies, mean, and standard deviation of variables. Bivariate regression analysis was performed to assess the effect of independent variables on self-reported oral health, knowledge score and oral hygiene status. ResultsThe mean knowledge score of participants in Braille group at 3-month was significantly higher (11.86 2.41) than in compressed speech group (8.59 +/- 2.74). Compressed speech showed significant reduction in mean gingival score (1.02 +/- 0.73) at 3-month (P 0.001). Bivariate regression indicated Braille education was significantly effective in improving knowledge (OR: 6.02) and oral hygiene status (OR: 8.24) (P 0.001). ConclusionBraille method of intervention was more effective in improving knowledge scores and oral hygiene status among visually impaired participants.","Yes","Accommodation","Braille and compressed speech materials","Learning","N/A","144","India","Oral health","N/A"
"Al-Jaleeli, Yasar Abdul Razak; Galimyanov, Anis Fuatovch","Supporting education of people with visual disabilities using braille codes and QR code technology",2018,"The purpose of this research is to find a new method for blind and visually impaired people to receive information using Braille codes with QR code technology in publications, which will enable them to use the Internet to obtain diverse information by voice. Information is provided for blind and visually impaired people. This article is one of several parts the researcher presents on methods using linear or binary QR code to provide information (audio books, audio articles, audio stories for children, etc.) for people who have visual impairments. Developing a curriculum for the blind and the visually impaired is a responsibility of governments and civil society organizations. The author believes that the visually impaired have the ability to develop, promote and become more active in their communities if resources for improving their living, education, and health are available to them.","Yes","Accommodation","Braille codes with QR code technology","N/A","N/A","N/A","N/A","N/A","N/A"
"Gautam, Kompal; Ali, A. Rizwan; Agrawal, Divya; Choudhary, Aparna; Shekhawat, Arpana; Jain, Rashi L.","New vision for improving oral hygiene status of visually impaired students aged from 9 to 17 years",2020,"Background: Visually impaired patients are at a higher risk of developing periodontal disease because of greater difficulty in attaining good oral hygiene. This study aims to assess and compare the oral hygiene status of visually impaired students before and after oral health education interventions using special customized methods. Methods: The present study was a randomized control trial of 180 visually impaired students divided into three groups. Each group includes 60 students selected randomly from blind school. Oral health education was given using Braille in Group 1, Audio Tactile performance (ATP) technique in Group 2, and a combination of Braille and ATP technique in Group 3. Plaque index (PI) scores and gingival index (GI) scores were calculated and evaluated at baseline and after 3 months. Intergroup comparison and intragroup comparison of PI and GI at baseline and 3 months was by using one way ANOVA and Paired t test, respectively. Results: There was a highly significant difference seen for the intergroup comparison of post PI (P < 0.01) and post GI (P < 0.01) with least mean in Group 3. There was a statistically highly significant difference seen for the intra group comparison of pre and post PI and GI (P < 0.01) with lesser means in post as compared to pre in all three groups. Conclusions: Visually impaired children could maintain an acceptable level of oral hygiene when taught using combination of Braille and ATP technique.","Yes","Accommodation","Braille and Audio Tactile performance (ATP)","Learning","9 to 17 years","180","N/A","Oral hygiene","N/A"
"Shubhom, V. T.; Keerthan, S.; Swathi, S.; Abhiram, G.; Shashidhar, R.","BRAPTER: Compact Braille Transput Communicator",2017,"One of the largest communities that is deprived of education is visually impaired section. The latest information and the technologies which can provide an alternative communication expertise cannot be easily accessible by blind people. Because of high cost and the portability issues the blind people are not able to afford modern technological enhancements. Hence the prime objective is to design a unique and affordable communicable device, to reach all the innovative minds which were unexplored and to educate them. The objective of the paper is to aid and support independent living for visually impaired community. The communication channel introduced is called Compact Braille Transput Communicator or BRAPTER in short. It provides blind people independence in writing and communicating in Braille. The system consists of two independent modules- a handy 'Braille e-notepad' and a compact Braille embosser. The portability, costeffectiveness and the compatibility makes it stand unique in the field of communication.","Yes","Accommodation","Compact Braille Transput Communicator","N/A","N/A","N/A","N/A","N/A","N/A"
"Shankar, Kiran S.; Arumugham, Meighana; Mohammed, Minhaj Ahmed Amer; Sandhu, Sunpreet Kaur; Bennadi, Darshana; Verma, Jeetu; Pulluri, Saraswathi Sravani","Effectiveness of Oral Health Education Interventions Using Braille on Oral Health among Visually Impaired Children: Proposal for a Systematic Review",2024,"To assess how oral health education (OHE) techniques using braille affect visually impaired children's awareness of oral health, oral hygiene status and practices, plaque, gingival health, and dental caries status. From 2010 to 2020, a thorough literature search will be conducted for studies in the English language using PubMed/MEDLINE, Cochrane Central Register of Controlled Trials, Web of Science, Google Scholar, and Open Grey. Data extraction will be done after two reviewers extensively evaluate the papers for qualifying requirements. In accordance with the research designs, a quality evaluation of the chosen studies will be conducted. With the use of the program Review Manager 5.3, a meta-analysis will be completed.","Yes","Accommodation","Braille for oral health education","N/A","N/A","N/A","N/A","Oral health","N/A"
"Martillano, Dennis A.; Chowdhury, Al Fahad D.; Dellosa, John Chrisostom M.; Murcia, Abigail A.; Mangoma, Rafael Jose P.","PINDOTS: An Assistive Six-dot Braille Cell Keying Device on Basic Notation Writing for Visually Impaired Students with IoT Technology",2018,"Philippines is a country with high incidence of visually impaired students that require special needs and attention. Government, institutions, and different agencies are currently commencing assistance to cater the needs of the visually impaired students by providing basic resources among Special Education (SPED) Centers across the nation including slate and stylus, improvised tactile cards, and basic braille papers for writing. However, access to advanced assistive technologies that will intensively help beginners in basic Braille Notation remains to be a major issue. While there are commercially available braille devices, most of these are high in cost and intimidating in terms of functionalities. This study aimed to develop a portable assistive Braille Device, blended with IoT technology for basic Braille notation writing that can be accessible for students and teachers in a SPED Center. The study focused on the use of low-cost and readily available microcontroller and improvised engravable tactile system. The portable device is designed with compact and scaled six-dot, single-character braille cell for braille notation writing, where visually impaired students' kinesthetic and proprioceptive skills can be improved. With the use of Modified Nurun-Based Methodology, quantitative techniques were utilized for the analysis of the study, following the iterative modeling and testing of prototype and realizing the whole system. As a result, the study was able to develop a low-cost alternative assistive technology that can aid visually impaired students to practice and learn Braille Notation writing. The device can also serve as an alternative mean for SPED Teachers in teaching visually impaired students who are beginners in basic Braille Notation writing.","Yes","Accommodation","Assistive Braille Device with IoT","Classroom","N/A","N/A","Philippines","Braille Notation Writing","N/A"
"Tiwari, Barkha S.; Ankola, Anil, V; Jalihal, Sagar; Patil, Pratibha; Sankeshwari, Roopali M.; Kashyap, Bhargava R.","Effectiveness of different oral health education interventions in visually impaired school children",2019,"Aim: To assess the oral hygiene status, knowledge, attitude and practices (KAP) in visually impaired children before and after imparting 3 different modes of oral health education. Methodology and results: The present study was a nonrandomized interventional study conducted among visually impaired school children. Ninety visually impaired children aged 12-15 years were selected by lottery method and divided into 3 groups (30 children each). Group 1: ATP (audio, tactile, performance technique), Group 2: Braille, and Group 3: ATP + Braille. Twenty-item verbal questionnaire was developed to record their knowledge, attitude, and practice (KAP) regarding oral hygiene before and after imparting oral health education. The oral hygiene status was recorded and compared using plaque and gingival index after 21-day, 1-, 6-, and 9-month interval. ANOVA, Tukey's post hoc, repeated measures ANOVA, and McNemar test were used. Group 3 showed highest percentage of reduction in plaque (55%) and gingival (52%) scores when compared with Group 1 and Group 2. Conclusion: The combination of ATP (audio, tactile, and performance technique) and Braille is an effective way to improve oral hygiene status in visually impaired children. The KAP among these children also improved significantly after imparting oral health education.","Yes","Accommodation","Audio, tactile, performance technique, Braille","Learning","Middle school","90","N/A","Oral health education","N/A"
"Bhor, K.; Shetty, V.; Garcha, V.; Nimbulkar, G. C.","Effect of oral health education in the form of Braille and oral health talk on oral hygiene knowledge, practices, and status of 12-17 years old visually impaired school girls in Pune city: A comparative study",2016,"Aim: To assess the effect of oral health education (OHE) in the form of Braille and combination with Oral health talk (OHT) on oral hygiene knowledge, practices, and status of 12-17 years old visually impaired school girls in Pune city. Materials and Methods: A 6-week comparative study was conducted among 74 residential visually impaired school girls aged 12-17 years, who were trained to read Braille. The participants were divided into two groups, namely, Group A (n = 37) receiving OHE only in the form of Braille and Group B (n = 37) receiving OHE in form of Braille and OHT at baseline, 2, and 4-week interval. Oral health knowledge was assessed using a self-administered, pre-validated, pre-tested questionnaire typed in Marathi Braille. Assessment of oral hygiene practices and status was done using standardized proforma and simplified oral hygiene index (OHI-S), respectively, at baseline and at the end of 6 weeks. Data was analyzed using paired and unpaired Student's t-test. Results: The results showed a statistically significant increase in oral health knowledge levels in Group B (4.95 +/- 1.66) as compared to Group A (2.97 +/- 1.28). There was a significant increase in the frequency of mouth-rinsing in Group B (97.3%) as compared to Group A (86.5%) as well as in the tongue cleaning practice in Group B (100%) as compared to Group A (81.1%) at the end of 6 weeks. Conclusion: OHE in the form of Braille and OHT was more effective than OHE using only Braille.","Yes","Accommodation","Braille and oral health talk","Learning","Middle and high school","74","India, Pune","Oral health","N/A"
"Nahar, Lutfun; Jaafar, Azizah; Ahamed, Eistiak; Kaish, A. B. M. A.","Design of a Braille Learning Application for Visually Impaired Students in Bangladesh",2015,"Visually impaired students (VIS) are unable to get visual information, which has made their learning process complicated. This paper discusses the overall situation of VIS in Bangladesh and identifies major challenges that they are facing in getting education. The Braille system is followed to educate blind students in Bangladesh. However, lack of Braille based educational resources and technological solutions have made the learning process lengthy and complicated for VIS. As a developing country, Bangladesh cannot afford for the costly Braille related technological tools for VIS. Therefore, a mobile phone based Braille application, mBRAILLE, for Android platform is designed to provide an easy Braille learning technology for VIS in Bangladesh. The proposed design is evaluated by experts in assistive technology for students with disabilities, and advanced learners of Braille. The application aims to provide a Bangla and English Braille learning platform for VIS. In this paper, we depict iterative (participatory) design of the application along with a preliminary evaluation with 5 blind subjects, and 1 sighted and 2 blind experts. The results show that the design scored an overall satisfaction level of 4.53 out of 5 by all respondents, indicating that our design is ready for the next step of development.","Yes","Accommodation","Mobile Braille learning application","Learning","N/A","8","Bangladesh","Braille learning","N/A"
"Kintonova, Aliya; Gabdreshov, Galimzhan; Yensebaev, Timur; Sadykova, Rizvangul; Yensebayev, Nurbek; Kulbasov, Sultan; Magzymov, Daulet","Experiment on teaching visually impaired and blind children using a mobile electronic alphabetic braille trainer",2024,"The article considers a pressing problem in the field of inclusive education: creating a comfortable learning environment for the effective education of children with special needs. In this article, a mobile electronic alphabet Braille simulator is an element of the learning environment for children with special needs. The article describes an experiment on teaching visually impaired and blind children using a mobile electronic Braille alphabet simulator. The mobile electronic Braille alphabet trainer, based on new advanced technology, was developed by Kazakh scientist-inventor Galimzhan Gabdreshov under the brand of his company SEZUAL. It was developed to reduce the time that blind children need to learn to read. The relevance of the study lies in the need to educate visually impaired and blind children through the introduction of modern technologies. Children entering primary, mainstream and special needs schools have been learning Braille for several years with varying degrees of success. The article shows the result of an experiment on teaching children using an electronic Braille alphabet simulator and without this simulator. The experiment showed the benefits of teaching blind children using a Braille simulator. An experimental study on the implementation of the SEZUAL electronic alphabet simulator with Braille was carried out in schools for the blind in the cities of Atyrau and Astana. A way to improve a mobile electronic alphabet Braille simulator is to make a simultaneous sound signal when a child presses the keys of the Braille simulator, with different Braille characters. To enhance the impact on the associative zone of the cerebral cortex, in the Braille simulator, sound signals of each key are added to the touch keys, which, like visual signals, are processed by the associative zone of the cerebral cortex and help to consolidate the perception of the simulator keys. This article describes in detail an experiment on the assimilation of educational material by blind and visually impaired children using a combination of parameters of sensorimotor and auditory perception of children. To clarify the peculiarities of the perception of blind and visually impaired respondents, their leading representative systems and modalities were identified before the experiment. The test was conducted based on the educational institution Atyrau Regional School for Gifted Children, Republic of Kazakhstan.","Yes","Accommodation","Mobile electronic Braille alphabet simulator","Learning","Primary","N/A","Kazakhstan","N/A","N/A"
"Santhoshi, Kayithi; Ansari, Khaja R.; Mekala, Sirisha; Kala, Tejaswi; Madala, Manasa V.; Onteru, Pradeep","Comparison of different modes of oral health education in visually impaired children",2024,"To compare the effectiveness of various modes of oral health education in visually impaired children. A total of 100 students aged 8-15 years were included. The children were divided randomly into four groups. Children in Group I received oral hygiene instructions through Braille pamphlets. In Group II, children received instructions through nonvisual desktop access (NVDA). For children in Group III, both Braille and NVDA were used to deliver the instructions. Children included in Group IV served as controls, who did not receive any information in any form for the study period. After oral examination to record plaque and OHI-S scores, a questionnaire was given to the children to assess their knowledge scores. The same questionnaire was repeated after 1 month to reassess the knowledge score in different groups. Chi-square test, Wilcoxon test, and post hoc analysis tests were used. The mean plaque scores among the control group children at the follow-up were significantly higher (2.5 +/- 0.64) than any other group. Similarly, the control group had higher mean oral hygiene simplified scores (1.75 +/- 1.32) than the Braille (1.12 +/- 0.65), NVDA (0.85 +/- 1.38), and Braille + NVDA (0.2 +/- 0.64) groups at follow-up. With regards to the mean total knowledge score, the control group scored the least (2.16 +/- 1.46), while the Braille, NVDA, and Braille + NVDA groups scored 3.16 +/- 1.43, 4.52 +/- 1.12, and 6.36 +/- 0.52, respectively. Combination of Braille and NVDA was found to be effective in educating and motivating visually impaired children regarding maintenance of oral hygiene.","Yes","Accommodation","Braille pamphlets, NVDA software","Learning","Elementary, middle school","100","N/A","Oral health education","N/A"
"Deshpande, Apurva P.; Ankola, Anil, V; Sankeshwari, Roopali; Jalihal, Sagar; Bhat, Deepika, V; Choudhury, Abhra Roy; Kumar, Ram Surath; Khot, Atrey Pai","Unleashing the most effective oral health education intervention technique for improving the oral hygiene status and oral health knowledge in visually impaired young individuals: A systematic review and meta-analysis",2023,"Appropriate oral health education (OHE) plays a vital role in prevention of oral diseases and would bridge the gap between dentists and visually impaired individuals. Hence, this systematic review was planned with an aim to evaluate effectiveness of various OHE techniques on the oral hygiene status and oral health knowledge of visually impaired young individuals. An electronic search extended to September 30, 2020 was conducted on PubMed, Wiley, ProQuest, ScienceDirect, Cochrane library, EBSCO, and Google Scholar. Two independent reviewers assessed the studies using a two-stage process; data were extracted according to PRISMA statement. Risk of bias assessment of selected studies was executed according to the study designs. Meta-analysis using the random-effects model was conducted for the outcomes for all oral health education techniques using STATASE 16.1 software. Hand and electronic search identified 3829 articles. After screening for titles and duplicates, 37 articles were retrieved, which were screened through abstract and full text. Of the 37 articles, 17 articles were included for qualitative synthesis, and out of that, 13 were for meta-analysis. Ten variations in oral health education (OHE) techniques were used in the included 17 studies to impart oral health education to visually impaired young individuals. Overall, all OHE techniques demonstrated a positive impact on oral hygiene status. The pooled overall cumulative mean difference of the oral hygiene status after imparting education in ATP, Audio, and Braille was 1.33 [1.06, 1.59], 1.76 [1.11, 2.42], and 1.96 [1.40, 2.55], respectively. An appropriate OHE technique boosts confidence in visually impaired young individuals, making the learning process an enjoyable experience. Use of either Braille or the ATP OHE technique was found to be a reliable and useful method to improve oral hygiene of visually impaired young individuals.","Yes","Accommodation","Oral health education techniques","Learning","N/A","N/A","N/A","Oral health","N/A"
"Khurana, Charu; Tandon, Shourya; Chand, Sachin; Chinmaya, B. R.","Effectiveness of oral health education program using braille text in a group of visually impaired children-before and after comparison trial",2019,"CONTEXT: Vision is the most important sense for interpreting the world and when sight is impaired, especially in childhood it can have detrimental effects on one's life. To maintain the oral health status of such group requires special approach. AIM: The aim of this study is to evaluate the impact of Braille text and verbal, oral hygiene instructions on the oral health status of visually impaired children. SETTINGS AND DESIGN: A prospective nonrandomized before and after comparison trial without any control group was conducted among 165 children aged 7-19 years residing in one of the blind schools in Delhi. MATERIALS AND METHODS: A questionnaire was developed to record the source of oral health knowledge and practices. Oral health status of the children was evaluated by recording plaque index (PI) and gingival index (GI) scores at 1, 3, and 5 months intervals. Periodic reinforcement of oral health education was performed with the help of instructions in Braille language. STATISTICAL ANALYSIS: Paired t-test and McNemar tests were used to assess the difference between the scores before and after oral health education. RESULTS: Among completely blind children, the mean difference of PI and GI score from baseline to the last evaluation was found to be 0.56 and 0.28, whereas among partially blind children, it was found to be 0.58 and 0.25, respectively. All the above values were statistically significant (P < 0.001). CONCLUSION: Visually impaired children irrespective of the degree of blindness could maintain an acceptable level of oral hygiene when taught using Braille text for instructions. However, continuous motivation and reinforcement at regular intervals are required for the maintenance of oral health status.","Yes","Accommodation","Braille text for oral health education","N/A","7-19 years","165","Delhi, India","Oral health","N/A"
"PinKwan, Padthaisong; Woranun, Prapansilp; Praphasri, Rirattanapong","A tactile graphic book with Braille and audio use improved plaque score and toothbrushing performance in visually impaired individuals",2022,"Objective: To evaluate the effectiveness of embossed tactile graphic books and Braille with an audio file for oral health education for visually impaired individuals. Materials and Methods: Forty visually impaired individuals (9-16 years old) were matched and randomly assigned into two groups. The education was provided using an audio file and practicing toothbrushing with teachers' hands-on assistance for the audio/hands-on (A/HO) group and the tactile graphic book with audio and teacher supervision (ATB/TS) group. The oral health instruction was performed three times, once a week every 2 weeks, transitioning to a self-study session based on the group's method once a week for 4 weeks. Plaque score, brushing performance, and oral health knowledge were evaluated. Statistical analysis was performed using the Mann-Whitney U and Friedman post hoc test. Results: A significant improvement was found in both groups at week 6 of the intervention. However, the ATB/TS group had a significantly higher score than the A/HO group in the task analysis of tooth brushing step score (p-value < 0.001), PHP score (p-value = 0.001), and oral hygiene knowledge score (p-value < 0.001). Conclusion: Tactile graphic books and Braille with an audio file is an effective medium for the oral health education of visually impaired individuals.","Yes","Accommodation","Tactile graphic books, Braille, audio file","Learning","9-16 years old","40","N/A","Oral health education","N/A"
"Doichinova, Lilia; Gateva, Natalia; Hristov, Krasimir","Oral hygiene education of special needs children. Part 2: visually impaired children",2019,"The purpose of this study was to implement an educational programme for oral hygiene for visually impaired children. It involved 30 children with total blindness aged 7-14 years: 13 boys and 17 girls. For their training, specially designed training materials were made, including magnified gypsum teeth models with and without cavities resembling carious lesions, Braille instructions for oral hygiene and embossed images printed out on special microcapsule paper presenting the sequence of the toothbrushing movements. To facilitate the maintenance of oral hygiene at home, a special CD with children's favourite music was made, divided into fragments by a bell ring that indicates the time to change the area to be toothbrushed. The music meets the time required to clean all the tooth surfaces for three minutes. The oral hygiene level was assessed using the Greene and Vermillion - Simplified Oral Hygiene Index. The approved one-year oral hygiene educational programme showed a significant improvement in the oral hygiene habits of the visually impaired children. There was a slow improvement in the oral hygiene levels in the first month. The trend continued until the end of the one-year period, the results obtained being statistically significant compared to the baseline. The motivation and education of visually impaired children with Braille instructions and magnified tooth models were essential to improve the oral hygiene status.","Yes","Accommodation","Braille instructions, magnified tooth models, music CD","Learning","Elementary, middle school","30","N/A","Oral hygiene","N/A"
"Dash, Sanjit Kumar; Biswal, Rudra Madhav; Misra, Aisurya; Swain, Rajesh; Ray, Saswat; Mishra, Jibitesh","Enhancing Education and Interaction for the Visually Impaired Using Deep Learning and IoT",2021,"Education for all has been a fundamental ideology behind the prosperity and development of a nation. The proposed system based on IoT aims to improve the quality of education and interaction for the visually challenged through object classification, learning, and digital library. This paper introduces a deep learning enabled percussive methodology for interaction of the blind. The methodology proposed in this work takes recorded audio as input and performs classification based on certain characteristics in order to determine a knock pattern. A proof-of-concept wearable device is introduced allowing visually challenged persons to passively read braille by stimulation on the skin of the forearm. A web application is designed that enables any ebook to be streamed via this web application to the wearable device. An Android application is presented that serves as an application to assist in daily life activities. The proposed system is tested on two different categories of subjects consisting of visually impaired and blindfolded people.","Yes","Accommodation","Deep learning, IoT, wearable device, web app, Android app","Learning","N/A","N/A","N/A","N/A","N/A"
